VendorNo,Country,Currency,TradeTerm,TradeTermName,PaymentTerm
10339,MALAYSIA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10340,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10341,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10342,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10343,MALAYSIA,USD,DAP,DELIVERED AT PLACE,60 DAYS NETT
10344,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10345,USA,USD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
10346,CHINA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10348,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10349,TAIWAN,USD,FOB,FREIGHT ON BOARD,60 DAYS NETT
10350,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10351,TAIWAN,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10352,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30 DAYS NETT 
10353,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10354,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10358,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,PAYMENT UPON PO ISSUED
20001,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20004,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20005,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20006,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
20008,MALAYSIA,RM,FOB,FREIGHT ON BOARD,90DAYS UPON MONTHLY CUT OFF
20009,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20012,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20013,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20014,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20022,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20023,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20025,MALAYSIA,RM,DAP,DELIVERED AT PLACE,90DAYS UPON MONTHLY CUT OFF
20026,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20027,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20028,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20029,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20030,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20032,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20034,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20035,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20036,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20037,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20040,MALAYSIA,RM,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
20041,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20042,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20043,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20044,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20046,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20047,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20048,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20049,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20051,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60 DAYS NETT
20052,MALAYSIA,RM,DAP,DELIVERED AT PLACE,NULL
20053,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20054,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20056,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30 DAYS NETT 
20057,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
20058,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20059,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20061,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20062,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20065,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20067,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20068,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20069,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20070,MALAYSIA,RM,DAP,DELIVERED AT PLACE,90DAYS UPON MONTHLY CUT OFF
20072,MALAYSIA,RM,DAP,DELIVERED AT PLACE,45DAYS UPON MONTHLY CUT OFF
20076,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20077,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20078,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20079,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20080,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20081,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20082,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20083,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20086,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20087,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20088,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20089,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20090,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20092,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20093,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20095,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20096,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20098,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20099,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20100,JAPAN,JPY,NULL,NULL,NULL
20101,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20103,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20104,MALAYSIA,RM,NULL,NULL,90DAYS UPON MONTHLY CUT OFF
20105,MALAYSIA,RM,NULL,NULL,CASH ON DELIVERY
20107,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20108,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20110,MALAYSIA,RM,DAP,DELIVERED AT PLACE,90DAYS UPON MONTHLY CUT OFF
20111,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20112,MALAYSIA,RM,NULL,NULL,NULL
20114,MALAYSIA,RM,EXF,EX-FACTORY,30DAYS UPON MONTHLY CUT OFF  
20115,MALAYSIA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20117,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20121,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20122,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20124,TAIWAN,USD,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20125,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,2 WEEKS
20126,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20127,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20128,TAIWAN,NTD,NULL,NULL,60DAYS UPON MONTHLY CUT OFF
20129,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20130,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20133,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20135,MALAYSIA,RM,NULL,NULL,60DAYS UPON MONTHLY CUT OFF
20136,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20139,SINGAPORE,JPY,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20140,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20145,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20148,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20149,MALAYSIA,RM,DAP,DELIVERED AT PLACE,PAYMENT BEFORE DELIVERY
20151,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20152,TAIWAN,NTD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
20153,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20155,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20157,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20158,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20163,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20164,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20166,SINGAPORE,SGD,FOB,FREIGHT ON BOARD,CASH ON DELIVERY
20167,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20169,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20171,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20175,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
20177,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,NULL
20180,MALAYSIA,RM,NULL,NULL,NULL
20182,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20184,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20186,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,PAYMENT BEFORE DELIVERY
20189,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20190,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20201,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20203,MALAYSIA,RM,DAP,DELIVERED AT PLACE,NULL
20204,MALAYSIA,RM,NULL,NULL,2 WEEKS
20205,MALAYSIA,RM,NULL,NULL,CASH ON DELIVERY
20210,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20211,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20219,TAIWAN,NTD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20221,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20223,KOREA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,PAYMENT BEFORE DELIVERY
20225,MALAYSIA,RM,NULL,NULL,NULL
20228,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20230,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20232,SINGAPORE,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
20233,MALAYSIA,RM,NULL,NULL,CASH ON DELIVERY
20235,MALAYSIA,RM,NULL,NULL,NULL
20236,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20240,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20245,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20250,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20252,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20256,MALAYSIA,RM,NULL,NULL,NULL
20261,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20262,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20264,MALAYSIA,RM,NULL,NULL,PAYMENT BEFORE DELIVERY
20265,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20268,SINGAPORE,USD,NULL,NULL,NULL
20269,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20273,CHINA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20274,MALAYSIA,RM,DAP,DELIVERED AT PLACE,45DAYS UPON MONTHLY CUT OFF
20277,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20279,SINGAPORE,USD,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20282,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20283,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20284,MALAYSIA,RM,NULL,NULL,30 DAYS NETT 
20285,MALAYSIA,RM,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
20286,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20288,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20290,MALAYSIA,RM,EXF,EX-FACTORY,45DAYS UPON MONTHLY CUT OFF
20292,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20297,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20304,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20306,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
20310,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
20312,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
20313,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",90DAYS UPON MONTHLY CUT OFF
20314,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20315,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20318,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",NULL
20319,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20320,MALAYSIA,RM,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20321,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20323,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20324,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20325,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20327,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20330,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20332,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20333,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
20334,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20335,TAIWAN,USD,FOB,FREIGHT ON BOARD,30DAYS UPON ACCEPTANCE
20336,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON ACCEPTANCE
20337,MALAYSIA,RM,NULL,NULL,30DAYS UPON MONTHLY CUT OFF  
20339,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20341,SINGAPORE,SGD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20342,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20343,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20344,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20345,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
20346,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20347,MALAYSIA,RM,DAP,DELIVERED AT PLACE,NULL
20348,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20349,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20350,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20351,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20352,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20353,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20354,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
20355,TAIWAN,NTD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
20356,TAIWAN,NTD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
20357,TAIWAN,NTD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20358,TAIWAN,NTD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20359,MALAYSIA,RM,FOB,FREIGHT ON BOARD,NULL
20360,TAIWAN,NTD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20361,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20362,TAIWAN,NTD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
20363,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20364,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20365,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20366,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20368,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20369,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20370,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20371,CHINA,USD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
20372,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20373,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20374,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20375,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20376,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20377,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60 DAYS NETT
20378,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20379,TAIWAN,NTD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20380,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20382,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,PAYMENT BEFORE DELIVERY
20383,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20384,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20385,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20387,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20388,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
20389,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20390,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20391,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20392,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
20393,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20394,MALAYSIA,RM,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
20395,JAPAN,JPY,DDU,DELIVERED DUTY UNPAID,PAYMENT BEFORE DELIVERY
20396,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20397,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20398,MALAYSIA,RM,DAP,DELIVERED AT PLACE,PAYMENT BEFORE DELIVERY
20399,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20400,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
20401,SINGAPORE,RM,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
20402,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20403,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20404,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20405,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20406,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20407,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20408,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20409,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
20410,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20411,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
20412,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20413,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
20414,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20415,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20416,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20417,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20418,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
20419,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
20420,MALAYSIA,RM,EXF,EX-FACTORY,30DAYS UPON MONTHLY CUT OFF  
20421,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20422,MALAYSIA,RM,EXF,EX-FACTORY,CASH ON DELIVERY
20423,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20424,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
20425,MALAYSIA,RM,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
20426,TAIWAN,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
